iter	Passed	Remaining
536	1692	1459
537	1695	1455
538	1697	1451
539	1700	1448
540	1702	1444
541	1705	1441
542	1708	1437
543	1710	1434
544	1713	1430
545	1716	1427
546	1719	1423
547	1722	1420
548	1725	1417
549	1727	1413
550	1730	1410
551	1733	1406
552	1736	1403
553	1738	1399
554	1741	1396
555	1744	1392
556	1747	1389
557	1750	1386
558	1752	1382
559	1755	1379
560	1758	1376
561	1761	1372
562	1763	1368
563	1766	1365
564	1768	1361
565	1771	1358
566	1774	1355
567	1776	1351
568	1779	1348
569	1782	1344
570	1785	1341
571	1787	1337
572	1790	1334
573	1793	1330
574	1796	1327
575	1799	1324
576	1802	1321
577	1804	1317
578	1807	1314
579	1810	1310
580	1813	1307
581	1815	1304
582	1818	1300
583	1821	1297
584	1823	1293
585	1826	1290
586	1828	1286
587	1831	1283
588	1834	1279
589	1837	1276
590	1840	1273
591	1842	1270
592	1845	1266
593	1848	1263
594	1851	1260
595	1854	1256
596	1857	1253
597	1860	1250
598	1863	1247
599	1866	1244
600	1869	1241
601	1872	1237
602	1875	1234
603	1878	1231
604	1881	1228
605	1884	1224
606	1886	1221
607	1889	1218
608	1891	1214
609	1894	1211
610	1897	1207
611	1899	1204
612	1902	1200
613	1904	1197
614	1907	1194
615	1910	1190
616	1913	1187
617	1915	1184
618	1918	1181
619	1921	1177
620	1924	1174
621	1927	1171
622	1930	1168
623	1934	1165
624	1937	1162
625	1940	1159
626	1942	1155
627	1945	1152
628	1949	1149
629	1952	1146
630	1956	1144
631	1960	1141
632	1963	1138
633	1966	1135
634	1970	1132
635	1973	1129
636	1977	1126
637	1980	1123
638	1984	1121
639	1988	1118
640	1991	1115
641	1995	1112
642	1998	1109
643	2002	1106
644	2006	1104
645	2010	1101
646	2014	1098
647	2017	1096
648	2021	1093
649	2023	1089
650	2027	1086
651	2030	1083
652	2034	1081
653	2037	1078
654	2041	1075
655	2045	1072
656	2049	1069
657	2053	1067
658	2057	1064
659	2060	1061
660	2064	1058
661	2068	1056
662	2071	1053
663	2075	1050
664	2079	1047
665	2083	1044
666	2087	1042
667	2090	1039
668	2094	1036
669	2097	1033
670	2101	1030
671	2104	1026
672	2107	1023
673	2111	1021
674	2114	1018
675	2117	1014
676	2120	1011
677	2122	1008
678	2125	1005
679	2128	1001
680	2131	998
681	2134	995
682	2137	992
683	2140	988
684	2143	985
685	2147	982
686	2150	979
687	2153	976
688	2156	973
689	2159	970
690	2162	966
691	2164	963
692	2168	960
693	2171	957
694	2174	954
695	2177	951
696	2180	947
697	2183	944
698	2187	941
699	2190	938
700	2194	935
701	2197	932
702	2201	929
703	2204	926
704	2208	923
705	2212	921
706	2215	918
707	2219	915
708	2223	912
709	2227	909
710	2231	906
711	2234	904
712	2238	901
713	2242	898
714	2245	895
715	2250	892
716	2253	889
717	2256	886
718	2260	883
719	2264	880
720	2267	877
721	2271	874
722	2275	871
723	2278	868
724	2282	865
725	2285	862
726	2289	859
727	2292	856
728	2296	853
729	2300	850
730	2304	848
731	2308	845
732	2311	842
733	2315	839
734	2319	836
735	2322	833
736	2326	830
737	2331	827
738	2334	824
739	2338	821
740	2342	818
741	2346	815
742	2349	812
743	2353	809
744	2356	806
745	2360	803
746	2362	800
747	2367	797
748	2371	794
749	2375	791
750	2379	788
751	2383	785
752	2386	782
753	2390	779
754	2394	776
755	2397	773
756	2401	770
757	2405	767
758	2409	765
759	2418	763
760	2424	761
761	2429	758
762	2435	756
763	2439	753
764	2443	750
765	2448	748
766	2452	745
767	2457	742
768	2461	739
769	2465	736
770	2469	733
771	2473	730
772	2477	727
773	2481	724
774	2486	721
775	2490	718
776	2494	715
777	2498	713
778	2503	710
779	2508	707
780	2511	704
781	2514	701
782	2519	698
783	2522	695
784	2527	692
785	2530	688
786	2533	685
787	2538	682
788	2542	680
789	2546	677
790	2550	673
791	2555	671
792	2559	668
793	2562	664
794	2566	661
795	2569	658
796	2572	655
797	2576	652
798	2579	648
799	2583	645
800	2586	642
801	2590	639
802	2594	636
803	2598	633
804	2601	630
805	2604	626
806	2608	623
807	2612	620
808	2616	617
809	2620	614
810	2624	611
811	2627	608
812	2630	605
813	2634	601
814	2637	598
815	2641	595
816	2644	592
817	2647	589
818	2651	585
819	2654	582
820	2657	579
821	2661	576
822	2665	573
823	2669	570
824	2672	566
825	2676	563
826	2679	560
827	2682	557
828	2686	554
829	2690	551
830	2694	547
831	2698	544
832	2702	541
833	2705	538
834	2708	535
835	2711	532
836	2715	528
837	2720	525
838	2723	522
839	2727	519
840	2730	516
841	2734	513
842	2739	510
843	2743	507
844	2746	503
845	2750	500
846	2754	497
847	2758	494
848	2761	491
849	2764	487
850	2768	484
851	2772	481
852	2776	478
853	2780	475
854	2783	472
855	2788	469
856	2792	465
857	2795	462
858	2799	459
859	2802	456
860	2806	453
861	2810	449
862	2813	446
863	2817	443
864	2821	440
865	2824	437
866	2829	433
867	2832	430
868	2835	427
869	2839	424
870	2843	421
871	2847	417
872	2851	414
873	2855	411
874	2859	408
875	2863	405
876	2867	402
877	2871	399
878	2875	395
879	2879	392
880	2882	389
881	2886	386
882	2890	383
883	2894	379
884	2898	376
885	2902	373
886	2906	370
887	2909	367
888	2913	363
889	2917	360
890	2921	357
891	2924	354
892	2928	350
893	2932	347
894	2936	344
895	2939	341
896	2943	338
897	2947	334
898	2951	331
899	2955	328
900	2959	325
901	2962	321
902	2966	318
903	2970	315
904	2973	312
905	2977	308
906	2981	305
907	2984	302
908	2988	299
909	2992	295
910	2996	292
911	3000	289
912	3003	286
913	3006	282
914	3011	279
915	3014	276
916	3018	273
917	3022	270
918	3026	266
919	3031	263
920	3035	260
921	3038	257
922	3042	253
923	3047	250
924	3051	247
925	3055	244
926	3059	240
927	3062	237
928	3066	234
929	3070	231
930	3075	227
931	3079	224
932	3082	221
933	3085	218
934	3088	214
935	3092	211
936	3094	208
937	3098	204
938	3101	201
939	3104	198
940	3107	194
941	3110	191
942	3113	188
943	3117	184
944	3121	181
945	3124	178
946	3127	175
947	3130	171
948	3134	168
949	3137	165
950	3140	161
951	3144	158
952	3147	155
953	3151	151
954	3154	148
955	3157	145
956	3161	142
957	3164	138
958	3167	135
959	3170	132
960	3173	128
961	3177	125
962	3180	122
963	3183	118
964	3186	115
965	3189	112
966	3192	108
967	3196	105
968	3199	102
969	3202	99
970	3206	95
971	3210	92
972	3213	89
973	3217	85
974	3220	82
975	3223	79
976	3226	75
977	3229	72
978	3233	69
979	3236	66
980	3240	62
981	3243	59
982	3247	56
983	3250	52
984	3253	49
985	3256	46
986	3260	42
987	3263	39
988	3266	36
989	3270	33
990	3273	29
991	3277	26
992	3280	23
993	3284	19
994	3287	16
995	3290	13
996	3294	9
997	3297	6
998	3301	3
999	3304	0
