iter	Logloss
0	0.6812799669
1	0.6699453434
2	0.6588416171
3	0.6463139735
4	0.6345568785
5	0.622975281
6	0.6122571606
7	0.602146774
8	0.592606051
9	0.5823508007
10	0.5745607002
11	0.565815599
12	0.5588379421
13	0.5508000063
14	0.5424355448
15	0.534964631
16	0.5274906516
17	0.5206963767
18	0.5121737098
19	0.5057542131
20	0.4992631542
21	0.4911575648
22	0.4845072877
23	0.4779467939
24	0.4712671562
25	0.4658227646
26	0.4604458962
27	0.4549630792
28	0.4485466733
29	0.4439687355
30	0.4382391096
31	0.4327546212
32	0.4272944745
33	0.4241294903
34	0.419797221
35	0.4147218086
36	0.409606129
37	0.4043146243
38	0.399599938
39	0.3967538768
40	0.3922987788
41	0.3877304119
42	0.3832660302
43	0.378941572
44	0.3754403609
45	0.372849026
46	0.3700111843
47	0.3663727631
48	0.3629868118
49	0.3595137574
50	0.3555049734
51	0.351891068
52	0.348333792
53	0.3452553728
54	0.3419680267
55	0.3389697218
56	0.3358308802
57	0.332939183
58	0.33077605
59	0.3277456276
60	0.3251706643
61	0.3225159082
62	0.3208493479
63	0.318912591
64	0.3163403171
65	0.3141668627
66	0.3123711511
67	0.3099586927
68	0.3075270022
69	0.3049005995
70	0.3024950199
71	0.301279483
72	0.2990591724
73	0.2967696202
74	0.294437367
75	0.2928645866
76	0.2909702171
77	0.2900153519
78	0.28825594
79	0.2864385925
80	0.2845786951
81	0.2832134827
82	0.2818847605
83	0.2806271227
84	0.2793697797
85	0.2775847862
86	0.2766318371
87	0.2750460274
88	0.2735789966
89	0.2719293534
90	0.2703047177
91	0.268778488
92	0.2673008298
93	0.2659000023
94	0.2643439027
95	0.2623662837
96	0.2609422524
97	0.2593679004
98	0.2578990708
99	0.2565297077
100	0.2549180457
101	0.2542484367
102	0.2526373128
103	0.2511272076
104	0.249638507
105	0.2485457992
106	0.2473857489
107	0.2462052525
108	0.2454430386
109	0.2441071508
110	0.243303553
111	0.2422194441
112	0.240912027
113	0.2397202734
114	0.2386604881
115	0.2379223049
116	0.2369227054
117	0.2361473984
118	0.2350012653
119	0.2341022874
120	0.2330272025
121	0.2323529108
122	0.2314557141
123	0.2305815145
124	0.2299492767
125	0.2291708659
126	0.2284089103
127	0.2277492504
128	0.2271631085
129	0.2260743132
130	0.2253504546
131	0.2246494857
132	0.2235222405
133	0.2227946931
134	0.2222619643
135	0.2214643423
136	0.2206828156
137	0.2196619147
138	0.2188526903
139	0.2180958144
140	0.2175556941
141	0.2167541127
142	0.2159208482
143	0.2148465545
144	0.2140384615
145	0.2131288102
146	0.2125368465
147	0.2119177274
148	0.2110727265
149	0.210299734
150	0.2096251424
151	0.2091875441
152	0.2085608843
153	0.2079365401
154	0.2075260368
155	0.2066966039
156	0.2061872481
157	0.2056211367
158	0.2049038482
159	0.2044260017
160	0.2036727362
161	0.2031197653
162	0.2026237255
163	0.2019980988
164	0.2014892211
165	0.2006964561
166	0.2002757214
167	0.1997026776
168	0.1990551582
169	0.1986818211
170	0.1981624219
171	0.1978260769
172	0.1973219809
173	0.1968127909
174	0.196160313
175	0.1956731127
176	0.1950164397
177	0.1943894234
178	0.1939821254
179	0.1934079231
180	0.1928394101
181	0.1924593067
182	0.1918425138
183	0.1913855492
184	0.1910825855
185	0.1904980395
186	0.1900399358
187	0.1896532718
188	0.1892491369
189	0.1890089029
190	0.1886738646
191	0.1882242809
192	0.1879039187
193	0.1873950397
194	0.1872661425
195	0.1868099016
196	0.1863821543
197	0.1859742241
198	0.1853269253
199	0.184744098
200	0.1842584884
201	0.1841149119
202	0.1836712422
203	0.1833073707
204	0.1829037577
205	0.1827093664
206	0.1824847093
207	0.1821195818
208	0.1816635835
209	0.1813720525
210	0.1809409636
211	0.1804673761
212	0.1798348832
213	0.1796381845
214	0.1794710017
215	0.1789355236
216	0.1785713947
217	0.1783326668
218	0.1780005496
219	0.1776984533
220	0.1775421805
221	0.1773996684
222	0.177200537
223	0.1769542994
224	0.1765745964
225	0.1761106837
226	0.175895362
227	0.1754088657
228	0.1750163603
229	0.1748419152
230	0.174474059
231	0.1741828835
232	0.1737008937
233	0.1735457715
234	0.1732513864
235	0.1730704994
236	0.1725925221
237	0.1722919826
238	0.1720406968
239	0.1718332729
240	0.1716793457
241	0.1713552524
242	0.1710992895
243	0.1707891795
244	0.1704422766
245	0.1702047575
246	0.1698868957
247	0.1695090985
248	0.1692977986
249	0.1688625631
250	0.1686776617
251	0.1684897471
252	0.1684732703
253	0.1682840393
254	0.1680743625
255	0.1678155984
256	0.1674255031
257	0.1672716406
258	0.1669581465
259	0.1668245165
260	0.1663825955
261	0.1660141606
262	0.1658322475
263	0.1653294254
264	0.1651981838
265	0.1650292089
266	0.1647550397
267	0.1644532095
268	0.1641564607
269	0.163939763
270	0.1637265681
271	0.1634929803
272	0.1632589929
273	0.1630089989
274	0.1627778043
275	0.1627443666
276	0.1624156287
277	0.1621500011
278	0.1618451805
279	0.1617421157
280	0.1615960282
281	0.1612937807
282	0.1609436264
283	0.1608189317
284	0.160646942
285	0.1604282966
286	0.1600760875
287	0.15990591
288	0.1598342952
289	0.1596262938
290	0.1593679577
291	0.1589830325
292	0.158801739
293	0.1587197949
294	0.1586671432
295	0.1585705606
296	0.1582266045
297	0.1581130088
298	0.1580822506
299	0.1580040314
300	0.1578719781
301	0.1576953266
302	0.1576705721
303	0.1573265506
304	0.1570638448
305	0.1569259094
306	0.1568233527
307	0.1566551143
308	0.1562467526
309	0.156006561
310	0.1558923102
311	0.1556874159
312	0.1556103068
313	0.155430415
314	0.1553017116
315	0.1549908317
316	0.1547414278
317	0.1544826689
318	0.1543501239
319	0.1541623679
320	0.1539076294
321	0.1536222152
322	0.153350439
323	0.1532289721
324	0.1529867021
325	0.1527056988
326	0.1525170877
327	0.1523194388
328	0.1521160842
329	0.1518748055
330	0.151657506
331	0.1515042436
332	0.1513001375
333	0.1509851364
334	0.1509081525
335	0.1504947128
336	0.1503429585
337	0.150279534
338	0.150110006
339	0.1499149958
340	0.149861075
341	0.1497640975
342	0.1496572468
343	0.1495482329
344	0.1493799963
345	0.1491245826
346	0.1489506036
347	0.1487531652
348	0.1483843059
349	0.148211269
350	0.1480630408
351	0.1476868922
352	0.147504363
353	0.1473934927
354	0.1473482442
355	0.1471545465
356	0.146994612
357	0.1468373132
358	0.1466811135
359	0.1465106669
360	0.1463703619
361	0.1461926866
362	0.1460823305
363	0.145968864
364	0.1457439839
365	0.1455717203
366	0.1453950759
367	0.1450963362
368	0.1450607383
369	0.1450129135
370	0.1448080918
371	0.1446071277
372	0.144354174
373	0.1440592505
374	0.143938228
375	0.1437994153
376	0.1436342649
377	0.1434186112
378	0.1432714781
379	0.1430917489
380	0.1429828416
381	0.1428115012
382	0.1427583204
383	0.1426755317
384	0.1425355112
385	0.1423289253
386	0.1422619891
387	0.1421208931
388	0.1420366853
389	0.1417733207
390	0.1415987404
391	0.1413676434
392	0.1413187514
393	0.1411847228
394	0.1409546098
395	0.1407451832
396	0.1407013217
397	0.1405815175
398	0.1405578392
399	0.1404557626
400	0.1402511295
401	0.140108621
402	0.1398109793
403	0.1397744753
404	0.1397187286
405	0.1393855883
406	0.1393498769
